Time,Auto/Man,Temperature Inside,Humidity Inside
2021-04-12 20:00:09,Automatic,21.0,65.0
2021-04-12 20:05:03,Automatic,21.0,65.0
2021-04-12 20:10:03,Automatic,21.0,55.0
2021-04-12 20:15:03,Automatic,21.0,57.0
2021-04-12 20:20:06,Automatic,21.0,54.0
2021-04-12 20:25:04,Automatic,21.0,65.0
2021-04-12 20:30:08,Automatic,20.0,65.0
2021-04-12 20:35:06,Automatic,20.0,53.0
2021-04-12 20:40:04,Automatic,20.0,64.0
2021-04-12 20:45:07,Automatic,20.0,53.0
2021-04-12 20:50:04,Automatic,20.0,64.0
2021-04-12 20:55:04,Automatic,20.0,53.0
2021-04-12 21:10:06,Automatic,15.0,58.0
2021-04-12 21:15:12,Automatic,15.0,77.0
2021-04-13 10:45:05,Automatic,16.0,59.0
2021-04-13 10:50:06,Automatic,17.0,52.0
2021-04-13 10:55:04,Automatic,17.0,67.0
2021-04-13 11:00:04,Automatic,17.0,51.0
2021-04-13 11:05:08,Automatic,18.0,66.0
2021-04-13 11:10:09,Automatic,18.0,65.0
2021-04-13 11:15:12,Automatic,18.0,66.0
2021-04-13 11:20:04,Automatic,18.0,66.0
2021-04-13 11:25:03,Automatic,18.0,51.0
2021-04-13 11:30:08,Automatic,18.0,65.0
2021-04-13 11:35:11,Automatic,18.0,65.0
2021-04-13 11:40:09,Automatic,18.0,65.0
2021-04-13 11:45:03,Automatic,18.0,65.0
2021-04-13 11:50:06,Automatic,18.0,51.0
2021-04-13 11:55:04,Automatic,18.0,65.0
2021-04-13 12:00:04,Automatic,18.0,51.0
2021-04-13 12:05:04,Automatic,18.0,52.0
2021-04-13 12:10:04,Automatic,18.0,52.0
2021-04-13 12:15:05,Automatic,17.0,54.0
2021-04-13 12:20:03,Automatic,19.0,45.0
2021-04-14 11:25:06,Automatic,19.0,43.0
2021-04-14 11:30:06,Automatic,20.0,42.0
2021-04-14 11:35:04,Automatic,20.0,54.0
2021-04-14 11:40:04,Automatic,20.0,42.0
2021-04-14 11:45:09,Automatic,20.0,53.0
2021-04-14 11:50:04,Automatic,20.0,53.0
2021-04-14 11:55:06,Automatic,20.0,41.0
2021-04-14 12:00:04,Automatic,20.0,52.0
